coord,weather,base,main,visibility,wind,clouds,dt,sys,timezone,id,name,cod
"{'lon': -68.31, 'lat': -54.81}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 274.15, 'pressure': 974, 'humidity': 86, 'temp_min': 274.15, 'temp_max': 274.15}",10000,"{'speed': 3.6, 'deg': 230}",{'all': 75},1573025207,"{'type': 1, 'id': 8303, 'country': 'AR', 'sunrise': 1573029278, 'sunset': 1573084745}",-10800,3833367,Ushuaia,200
"{'lon': -15.21, 'lat': 64.25}","[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13n'}]",model,"{'temp': 273.79, 'pressure': 1013, 'humidity': 91, 'temp_min': 273.79, 'temp_max': 273.79, 'sea_level': 1013, 'grnd_level': 1013}","{'speed': 6.7, 'deg': 61}",{'3h': 0.37},{'all': 100},1573025207,"{'country': 'IS', 'sunrise': 1573030775, 'sunset': 1573057759}",0,2630299,Hofn,200
"{'lon': -159.32, 'lat': 22.08}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 297.08, 'pressure': 1017, 'humidity': 88, 'temp_min': 295.93, 'temp_max': 298.15}",16093,"{'speed': 2.6, 'deg': 270}",{},{'all': 1},1573025208,"{'type': 1, 'id': 7873, 'country': 'US', 'sunrise': 1572972201, 'sunset': 1573012702}",-36000,5848280,Kapaa,200
"{'lon': -88.94, 'lat': 16.17}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,"{'temp': 296.15, 'pressure': 1014, 'humidity': 94, 'temp_min': 296.15, 'temp_max': 296.15}",10000,"{'speed': 0.94, 'deg': 272}",{'all': 40},1573025208,"{'type': 1, 'id': 7081, 'country': 'BZ', 'sunrise': 1573041288, 'sunset': 1573082637}",-21600,3581398,Laguna,200
"{'lon': -155.08, 'lat': 19.71}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 295.55, 'pressure': 1017, 'humidity': 78, 'temp_min': 294.26, 'temp_max': 298.15}",16093,"{'speed': 2.1, 'deg': 200}",{'all': 1},1573025208,"{'type': 1, 'id': 7881, 'country': 'US', 'sunrise': 1572971002, 'sunset': 1573011866}",-36000,5855927,Hilo,200
"{'lon': 140.83, 'lat': 35.73}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,"{'temp': 292, 'pressure': 1013, 'humidity': 39, 'temp_min': 291.15, 'temp_max': 292.59}",10000,"{'speed': 2.1, 'deg': 200}",{'all': 20},1573025209,"{'type': 1, 'id': 7955, 'country': 'JP', 'sunrise': 1572987770, 'sunset': 1573025862}",32400,2112802,Hasaki,200
"{'lon': 168.86, 'lat': -46.19}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",stations,"{'temp': 287.04, 'pressure': 1008, 'humidity': 78, 'temp_min': 287.04, 'temp_max': 287.04}","{'speed': 2.68, 'deg': 205, 'gust': 5.36}",{'3h': 2.12},{'all': 61},1573025209,"{'type': 3, 'id': 2008959, 'country': 'NZ', 'sunrise': 1572974071, 'sunset': 1573026106}",46800,6201424,Mataura,200
"{'lon': -67.52, 'lat': -46.43}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",model,"{'temp': 285.76, 'pressure': 998, 'humidity': 47, 'temp_min': 285.76, 'temp_max': 285.76, 'sea_level': 998, 'grnd_level': 987}","{'speed': 13.2, 'deg': 296}",{'all': 56},1573025209,"{'country': 'AR', 'sunrise': 1573030710, 'sunset': 1573082934}",-10800,3863379,Mar del Plata,200
"{'lon': 57.7, 'lat': -20.41}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 300.62, 'pressure': 1019, 'humidity': 69, 'temp_min': 300.15, 'temp_max': 300.93}",10000,"{'speed': 4.6, 'deg': 110}",{'all': 75},1573025209,"{'type': 1, 'id': 2061, 'country': 'MU', 'sunrise': 1573003491, 'sunset': 1573050045}",14400,934322,Mahebourg,200
"{'lon': 172.79, 'lat': 3.07}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",model,"{'temp': 302.46, 'pressure': 1006, 'humidity': 72, 'temp_min': 302.46, 'temp_max': 302.46, 'sea_level': 1006, 'grnd_level': 1006}","{'speed': 4.26, 'deg': 91}",{'all': 82},1573025210,"{'country': 'KI', 'sunrise': 1572977546, 'sunset': 1573020745}",43200,2110227,Butaritari,200
